Gene symbol,06h [339],06h [340],06h [341],12h [342],12h [343],12h [344],24h [345],24h [346],24h [347],36h [348],36h [349],36h [350],Peripheral lesion [74],Peripheral lesion [75],Peripheral lesion [124],Sham operated [69],Sham operated [70],Sham operated [123],E12.5 [84],E12.5 [86],E12.5 [87],E17.5 [336],E17.5 [337],E17.5 [338]
Mier1,773.247,571.143,765.156,1188.37,617.428,652.34,875.574,712.318,880.472,923.854,686.921,705.252,566.58,606.189,575.875,477.246,475.905,553.99,1129.17,1079.98,1307,710.459,1001.69,763.043
Mier2,26.864,40.6781,38.7867,70.133,113.057,80.6033,95.9197,114.252,82.6202,105.645,262.053,176.313,192.73,183.694,182.129,129.89,145.476,139.931,327.718,289.75,292.688,107.115,56.4335,245.099
Mier3,390.617,361.156,349.08,681.849,389.852,484.303,452.544,460.963,524.881,550.863,426.418,415.397,382.364,377.407,371.775,279.459,325.311,373.914,755.892,749.753,800.206,556.563,807.705,584.999
Mif,326.724,369.401,267.981,296.117,597.448,426.924,435.328,468.873,302.131,382.693,499.297,472.63,334.375,283.89,409.935,487.086,557.05,453.629,1278.48,1059.42,993.409,855.174,543.173,1102.94
Mif4gd,71.8793,57.7189,42.3128,77.9256,63.3509,64.2094,103.298,90.5228,71.2802,95.9429,100.79,87.6949,158.673,160.315,143.39,129.89,114.042,128.461,96.0648,89.3021,88.6715,142.092,112.867,129.486
Miip,31.2203,36.2805,31.7346,31.1702,58.9651,37.5693,49.1896,58.8838,60.7502,88.3968,55.822,73.8484,73.5316,80.1573,58.3969,52.1526,57.0209,68.2451,132.295,155.476,127.6,62.9576,52.9064,80.9288
Mill1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mill2,15.2471,11.5438,17.6303,19.4814,11.6956,9.5631,19.6758,16.6984,23.4901,31.2623,31.0122,27.6931,23.2205,26.7191,33.5349,28.5363,25.5863,22.366,2.74471,2.56985,0.720906,11.8046,14.1084,6.93675
Milr1,5.08238,3.29822,7.05213,15.5851,5.36046,5.46463,14.7569,6.59147,16.2,12.9361,13.9555,6.46173,12.3843,10.0197,11.5637,5.90407,8.77244,4.01442,11.5278,7.06708,8.65088,5.68367,0,9.249
Mina,147.389,152.818,197.46,206.503,155.941,129.102,194.299,210.927,266.491,251.176,210.883,210.468,102.17,106.876,117.372,102.337,108.193,88.3172,121.865,102.794,132.647,196.743,250.424,194.229
Mink1,747.109,1110.95,754.578,787.048,1065.76,858.63,784.574,807.674,658.532,636.026,793.913,787.408,826.65,843.321,857.452,880.691,812.182,943.388,232.202,233.214,262.41,530.331,278.64,548.003
Minos1,588.83,627.762,652.322,448.072,496.086,441.952,398.436,406.913,358.831,413.956,291.515,349.857,500.015,527.702,598.424,697.664,665.974,625.676,424.881,411.818,419.567,537.763,592.552,455.513
Minpp1,562.692,558.499,497.175,576.649,567.234,568.321,644.383,661.783,682.832,731.969,671.414,754.177,565.032,576.131,557.373,580.567,549.008,579.797,743.267,724.697,844.902,569.679,564.335,591.936
